"series","episode","technical","result","Signature Bake","Show Stopper","Baker Name","Baker Age","Baker Occupation","Hometown"
5,1,12,"IN","Kawaii Frasier Swiss Roll","Lemon Drizzle Cakes with Blueberry and Lemon Curd","Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
5,1,6,"IN","Red Velvet and White Chocolate Swiss Roll","Mini Tiered Victoria Sponges","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
5,1,7,"IN","Spanish Swiss Roll","Raspberry and Lemon Genoise Slices with Lemon Drizzles","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,1,2,"IN","Tiramisu Swiss Roll","Mini Lemon and Thyme Drizzle Cakes","Martha Collison",17,"Student","Ascot, Berkshire"
5,1,11,"IN","Black Forest Swiss Roll","Almond and Raspberry Mini Cakes","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
5,1,10,"IN","Pistachio and Strawberry Swiss Roll","Miniature Coffee & Walnut Cakes","Richard Burr",38,"Builder","Mill Hill, London"
5,1,8,"OUT","Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes","Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
5,1,1,"STAR BAKER","Coffee and Hazelnut Swiss Roll","Jaffa Orange Cakes","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,2,8,"IN","Fenugreek and Carom Crackers","Day On The Beach","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,2,7,"IN","Parmesan Triangles","Express, First Class","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
5,2,11,"IN","Za'atar and Fig Biscuits","Wild West Scene","Iain Watters",31,"Construction Engineer","London/Belfast"
5,2,6,"IN","Sourdough, Parmesan and Chilli Biscuits","Monster Attack","Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
5,2,4,"IN","Parmesan and Apple Biscuits","Tea Time","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
5,2,3,"IN","Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,2,5,"IN","Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene","Martha Collison",17,"Student","Ascot, Berkshire"
5,2,2,"IN","Fennel and Rye Thins","Hansel and Gretel Scene","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,2,10,"IN","Farthing Biscuits","Zulu Boats at Dawn","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
5,2,9,"OUT","Pumpkin and Sunflower Savoury Biscuits","Space Adventure Moon Scene","Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
5,2,1,"STAR BAKER","Rosemary Seeded Crackers","Pirates!","Richard Burr",38,"Builder","Mill Hill, London"
5,3,8,"IN","Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,3,7,"IN","Rustic Picnic Rolls","Sharing Savoury Pinwheel","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
5,3,9,"IN","Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip","Iain Watters",31,"Construction Engineer","London/Belfast"
5,3,1,"IN","Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
5,3,3,"IN","Date and Walnut Rye Rolls","Stuffed Sunflower Loaf","Martha Collison",17,"Student","Ascot, Berkshire"
5,3,5,"IN","Cider and Walnut Crusty Rolls","'Full English' Stromboli","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,3,4,"IN","Rye Bread Rolls","Chicken and Roasted Vegetable Picnic Loaf","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
5,3,6,"IN","Rye and Cranberry Rolls","Pesto Pinwheel","Richard Burr",38,"Builder","Mill Hill, London"
5,3,10,"OUT","Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche","Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
5,3,2,"STAR BAKER","Opposites Attract Rolls","Roscón de Reyes","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,4,3,"IN","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,4,9,"IN","Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
5,4,7,"IN","Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
5,4,2,"IN","Pears in Puddings","Bakewell Alaska","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,4,1,"IN","Peanut Butter Chocolate Fondants","Key Lime Baked Alaska","Martha Collison",17,"Student","Ascot, Berkshire"
5,4,4,"IN","Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,4,8,"IN","Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
5,4,6,"OUT","Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)","Iain Watters",31,"Construction Engineer","London/Belfast"
5,4,5,"STAR BAKER","Black Forest Chocolate Fondants","Tiramisu Baked Alaska","Richard Burr",38,"Builder","Mill Hill, London"
5,5,2,"IN","Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,5,6,"IN","Tropical Manchester Tart","Four Fruity Seasons Tower","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,5,1,"IN","Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie","Martha Collison",17,"Student","Ascot, Berkshire"
5,5,4,"IN","Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,5,7,"IN","Fig and Orange Tart","Three Course Autumn Pie Feast","Richard Burr",38,"Builder","Mill Hill, London"
5,5,5,"OUT","Tarte au Citron","Pieful Tower","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
5,5,3,"STAR BAKER","Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
5,6,6,"IN","Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
5,6,3,"IN","Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,6,4,"IN","Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte","Martha Collison",17,"Student","Ascot, Berkshire"
5,6,1,"IN","Rum Punch Savarin with Coconut Cream and Tropical Fruits","Chocolate and Caramel Dobos Torte","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,6,5,"IN","Fruity Guglhupf with an Orange Glaze","Sugar Forest Dobos Torte","Richard Burr",38,"Builder","Mill Hill, London"
5,6,2,"STAR BAKER","Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,7,6,"IN","Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,7,5,"IN","Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,7,3,"IN","Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs","Martha Collison",17,"Student","Ascot, Berkshire"
5,7,2,"IN","Spicy Duck Pasties","Smoked Salmon and Horseradish & Raspberry Ripple Éclairs","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,7,4,"OUT","Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
5,7,1,"STAR BAKER","Minted Lamb Pasties","Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)","Richard Burr",38,"Builder","Mill Hill, London"
5,8,1,"IN","Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,8,2,"IN","Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,8,3,"IN","Lincolnshire Plum Braid","Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,8,5,"OUT","Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts","Martha Collison",17,"Student","Ascot, Berkshire"
5,8,4,"STAR BAKER","Fruit Swedish Tea Ring","Rhubarb and Custard and Toffee Apple Doughnuts","Richard Burr",38,"Builder","Mill Hill, London"
5,9,1,"IN","Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,9,3,"IN","Coffee and Chocolate BaklavaBreakfast Baklava","Raspberry NonnettesLime and Passion Fruit Entremets","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,9,4,"OUT","Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,9,2,"STAR BAKER","Rose and Pistachio BaklavaWalnut and Almond Baklava","Hazelnut Mocha EntremetsPink Grapefruit Entremets","Richard Burr",38,"Builder","Mill Hill, London"
5,10,1,"WINNER","Apple and Lemon KitesRaspberry and Almond Croissants","Red Windmill","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
5,10,2,"Runner-up","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
5,10,3,"Runner-up","Pear Pain au ChocolatPain Au Lait","Mill on the Hill","Richard Burr",38,"Builder","Mill Hill, London"
6,1,2,"IN","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
6,1,5,"IN","Madeira Cake with Candied Lemons","Enchanted Forest Gâteau","Dorret Conway",53,"Accountant","Penwortham, Lancashire"
6,1,6,"IN","Blood Orange Madeira Cake","Black Forest Gâteau","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,1,8,"IN","Somewhere West of Madeira Cake","Black Forest Cherry Tree","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,1,7,"IN","Gin and Tonic Madeira Cake","Black Forest Gateau","Mat Riley",37,"Fire fighter","London"
6,1,12,"IN","Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,1,10,"IN","Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation","Paul Jagger",49,"Prison governor","Swansea, Wales"
6,1,9,"IN","Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
6,1,4,"IN","Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,1,1,"IN","Lemon and Thyme Madeira Cake","Falling Cup Gâteau","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
6,1,11,"OUT","Marley Madeira Cake","Purple Forest Gâteau","Stu Henshall",35,"Professional musician","Guildford, Surrey"
6,1,3,"STAR BAKER","Zingy Citrus Madeira Cake","A Walk in the Black Forest","Marie Campbell",66,"Retired","Auchterarder, Perthshire"
6,2,6,"IN","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
6,2,1,"IN","Almond and Apricot Biscotti with Amber Sugar Crystals","Box of Frogs","Dorret Conway",53,"Accountant","Penwortham, Lancashire"
6,2,2,"IN","Wedding Biscotti","Honey and Earl Grey Tea Box","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,2,5,"IN","Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine","Mat Riley",37,"Fire fighter","London"
6,2,9,"IN","Coconut, Fennel and Pistachio Biscotti","Box of Fortunes","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,2,10,"IN","Chocolate, Hazelnut and Fig Biscotti","Memory Box","Paul Jagger",49,"Prison governor","Swansea, Wales"
6,2,4,"IN","Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
6,2,8,"IN","Cinnamon, Maple and Cranberry Biscotti","Chessboard Box","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,2,7,"IN","White Wine Biscotti","Baby Climbing into the Cookie Box","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
6,2,11,"OUT","Biscotti Italiano","Russian Box","Marie Campbell",66,"Retired","Auchterarder, Perthshire"
6,2,3,"STAR BAKER","Orange, Rosemary and Almond Biscotti","Sandwich de la Confiture","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,3,4,"IN","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
6,3,2,"IN","Fig and Hazelnut Rye Breads","Herb Couture","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,3,8,"IN","Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion","Mat Riley",37,"Fire fighter","London"
6,3,9,"IN","Mexican Bread with Warm Tomato Salsa","Snake Charmer's Basket","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,3,10,"IN","Cranberry and Orange Sweet Soda Breads","King of the Jungle","Paul Jagger",49,"Prison governor","Swansea, Wales"
6,3,7,"IN","Soda Breads with Smoked Bacon and Onion","Basket of Bread Flowers with a Walnut and Blue Cheese Centre","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
6,3,3,"IN","Fig, Cheese and Walnut Breads","Breadcycle","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,3,5,"IN","Chocolate Quick Breads with Salted Caramel Sauce","Easter Basket","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
6,3,6,"OUT","Walnut and Stilton Soda Breads","Unmade Bread","Dorret Conway",53,"Accountant","Penwortham, Lancashire"
6,3,1,"STAR BAKER","Wild Garlic Pesto Soda Breads","Flour Power","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,4,9,"IN","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
6,4,3,"IN","Rhubarb and Ginger Crème Brûlées","Elderflower and Granola Cheesecakes","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,4,7,"IN","Coconut Crème Brûlées","Chocolate Bar Cheesecakes","Mat Riley",37,"Fire fighter","London"
6,4,8,"IN","Cinnamon Tea Crème Brûlées","Fizzy Pop Cheesecakes","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,4,1,"IN","Almond Crème Brûlées","Berry Cheesecake Tower","Paul Jagger",49,"Prison governor","Swansea, Wales"
6,4,5,"IN","Rhubarb and Ginger Crème Brûlées","Mango, Hazelnut and Rosemary Cheesecake Trio","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,4,2,"IN","Marula Fruit and Coffee Liqueur Crème Brûlées","Lime, Coconut and Hazelnut Cheesecakes","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
6,4,6,"OUT","Pontefract Crème Brûlées","Cassata, Whisky and Orange & Apple Pie Cheesecakes","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
6,4,4,"STAR BAKER","Pomegranate Two Ways Crème Brûlées","Trio of Spicy and Herby Baked Cheesecakes","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,5,8,"IN","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
6,5,3,"IN","Pistachio, Apple and Cardamom Madeleine Cake","Chocolate and Pear Bûche","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,5,5,"IN","Honey and Flowers Cake","Dessert Island","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,5,4,"IN","Sugar Free Carrot Cake","Raspberry and Coconut Ice Cream Roll","Mat Riley",37,"Fire fighter","London"
6,5,2,"IN","Carrot & Pecan Cake","Dessert Island Getaway","Paul Jagger",49,"Prison governor","Swansea, Wales"
6,5,7,"IN","Honey and Grapefruit Polenta Cake","Passion Fruit and Pineapple Ice Cream Roll","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,5,6,"OUT","Chocolate and Hazelnut Sugar-Free Cake","Chocolate, Peanut Butter and Grape Jam Roll","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
6,5,1,"STAR BAKER","Naked Blueberry and Caraway Crunch Cake","Chocolate and Strawberry Lime Ice Cream Roll","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,6,2,"IN","Apricot and Rosemary Frangipane Tart","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,6,3,"IN","Pear and Raspberry Frangipane Tart","vol-au-vents Terre et Mer","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,6,4,"IN","Bay Leaf, Rong Tea and Pear Tart","Bengali Korma and Clementine with Cod Vol-au-vents","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,6,5,"IN","Christmas Frangipane Tart","Savoury and Sweet Bouchées","Paul Jagger",49,"Prison governor","Swansea, Wales"
6,6,7,"IN","Spiced Pear Frangipane Tart","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,6,6,"OUT","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
6,6,1,"STAR BAKER","Piña Colada Frangipane Tart","His 'n' Hers Vol-au-vents","Mat Riley",37,"Fire fighter","London"
6,7,4,"IN","Game Pie with Shallot and Apple Chutney","Raspberry, Pomegranate and Champagne Charlotte Russe","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,7,5,"IN","Roadkill Pie","Victoria's Crown Charlotte Russe","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,7,1,"IN","Aromatic Raised Game Pie","Mango and Raspberry Charlotte Russe","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,7,2,"IN","Not a Boaring Pie","Charlotte Rose","Paul Jagger",49,"Prison governor","Swansea, Wales"
6,7,6,"OUT","Raised Venison and Pigeon Pie","Strawberry Charlotte Russe","Mat Riley",37,"Fire fighter","London"
6,7,3,"STAR BAKER","Middle Eastern Game Pie","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,8,3,"IN","Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,8,2,"IN","Mont Blanc & Black Forest Gâteau Horns","Nun with Hidden Passions","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,8,4,"IN","Lime & Mascarpone and Malt Cream Horns","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,8,5,"OUT","Café Tipple & Banana Crunch-away Horns","Religieuse à l'ancienne","Paul Jagger",49,"Prison governor","Swansea, Wales"
6,8,1,"STAR BAKER","Rose Pistachio and Mocha Hazelnut Horns","Bubble Gum and Peppermint Cream Religieuse à l'ancienne","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,9,3,"IN","Chocolate and Bay Tart","Chocolate Well","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,9,2,"IN","Chocolate New York Pie","Chocolate Bell Tower","Tamal Ray",29,"Trainee anaesthetist","Manchester"
6,9,1,"OUT","Passion Fruit and Chocolate Tart","Cocoa Carousel","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
6,9,4,"STAR BAKER","Peanut Salted Caramel and Chocolate Tart","Peacock in Nan's Door","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,10,1,"WINNER","Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers","My Big Fat British Wedding Cake","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
6,10,2,"Runner-up","Elderflower and Lemon & Spiced Buns","Colossal Curvy Carrot Cake","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
6,10,3,"Runner-up","Cinnamon and Apple & Toffee and Marmalade Iced Buns","Sticky Toffee Pudding Cake","Tamal Ray",29,"Trainee anaesthetist","Manchester"
7,1,12,"IN","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,1,6,"IN","Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,1,5,"IN","Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,1,4,"IN","Berry Best Apple and Bramble Drizzle Cake","One Swallow Does Not Make A Summer Cake","Kate Barmby",37,"Nurse","Brooke, Norfolk"
7,1,9,"IN","Orange Liqueur and Lemonade Drizzle Cake","White Chocolate Trifle Mirror Glaze Cake","Louise Williams",46,"Hairdresser","Cardiff"
7,1,3,"IN","Lime, Ginger and Honey Drizzle Cake","Matcha Tea Chocolate Mirror Glaze","Michael Georgiou",20,"Student","Durham"
7,1,8,"IN","Ginger Spice Yuzu Drizzle Cake","Colombian Mocha Mirror Glaze Cake","Rav Bansal",28,"Student support","Erith"
7,1,1,"IN","Citrus and Spice Drizzle Cake","Raspberry, Sloe and White Chocolate Mirror Glaze Cake","Selasi Gbormittah",30,"Client service associate","London"
7,1,2,"IN","G&T Drizzle Cake","Black Forest Broken Mirror","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,1,10,"IN","Mum's Orange and Lemon Drizzle","Chocolate Sponge with Four Fruit Frosting","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
7,1,11,"OUT","St. Clements Orange and Lemon Drizzle Cake","Strawberry Surprise Mirror Cake","Lee Banfield",67,"Pastor","Bolton"
7,1,7,"STAR BAKER","Lemon and Poppy Seed Drizzle Cake","Chocolate Orange Mirror Cake","Jane Beedle",61,"Garden designer","Beckenham"
7,2,4,"IN","Beehive Biscuits","Punting in Cambridge","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,2,3,"IN","Bouquet Biscuits","New York, New York","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,2,2,"IN","Flower Pot Iced Biscuits","Hastings Old Town Fishing Net Shops and Boat","Jane Beedle",61,"Garden designer","Beckenham"
7,2,1,"IN","""A Biscuit for the Broads""","""I Promise I will do my best""","Kate Barmby",37,"Nurse","Brooke, Norfolk"
7,2,9,"IN","Malt, Chocolate and Orange Iced ""Beer"" Biscuits","Trip to See Santa in Lapland","Michael Georgiou",20,"Student","Durham"
7,2,6,"IN","Union Jack Bunting Biscuits","Gingerbread Christmas Fairground","Rav Bansal",28,"Student support","Erith"
7,2,11,"IN","""Wheelie Hot Iced Biscuits""","Stained Glass Window Gingerbread Church","Selasi Gbormittah",30,"Client service associate","London"
7,2,7,"IN","Chai Frappelatteccino Biscuits","Tom and Pod's Near Death Experience","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,2,5,"IN","Sunday Treat Iced Ice Cream Cone Biscuits","From Holland to New York via Yorkshire","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
7,2,10,"OUT","Baa Bara Brith Biscuits","Gingerbread Wedding","Louise Williams",46,"Hairdresser","Cardiff"
7,2,8,"STAR BAKER","Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,3,2,"IN","Chocolate Barmbrack Bread","Braided Harvest Bread Basket","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,3,6,"IN","Chocolate, Tahini and Almond Babka","Braided Bread Heart","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,3,3,"IN","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,3,9,"IN","Chocolate and Cranberry Couronne","Chorizo and Chilli Flower with Parmesan and Pesto Centre","Jane Beedle",61,"Garden designer","Beckenham"
7,3,8,"IN","Cobbled Loaf","The Corn Maiden","Kate Barmby",37,"Nurse","Brooke, Norfolk"
7,3,10,"IN","Chocolate, Cardamom and Hazelnut Loaf","Three Tier Diwali Bread Centrepiece","Rav Bansal",28,"Student support","Erith"
7,3,5,"IN","Chocolate, Orange and Cinnamon Bread","Bedouin Escape Tear and Share Bread","Selasi Gbormittah",30,"Client service associate","London"
7,3,1,"IN","Double Chocolate Cinnamon Twist Loaf","""And They All Went Into The Ark To Get Out Of The Rain""","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
7,3,7,"OUT","Chocolate and Chilli Swirl Plait","Cypriot Dove and Olive Branch Plaited Loaf with Houmous","Michael Georgiou",20,"Student","Durham"
7,3,4,"STAR BAKER","Chocolate Orange and Chilli Swirl Bread","Jörmungandr and Mjölnir","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,4,4,"IN","Yorkshire 'Tapas' Puddings","Churros Window Box","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,4,2,"IN","Yorkshire Wellingtons","Two-Way Peanut Butter Churros","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,4,3,"IN","Meat and Two Veg Yorkshires","Pistachio and White Chocolate Churros","Jane Beedle",61,"Garden designer","Beckenham"
